,PD_mean,Healthy_mean
duration,3.5896250000000003,3.06502743902439
pitch_mean,954.59333075,919.9810897560975
pitch_std,483.4922345,432.63242463414633
energy,0.24501807442499998,0.23321144731707322
zcr,0.1941460171310966,0.19111601789905974
spectral_centroid,1105.632367049724,1073.6242474785638
spectral_bandwidth,786.0416551335403,744.7201714099424
spectral_rolloff,1792.4278262200285,1658.9247732911726
spectral_flatness,0.01156852611,0.009683318851219513
jitter,0.006094138477755195,0.006352445524549192
shimmer,0.06723008983796924,0.07026862889223989
hnr,17.910681626442305,17.63262492902838
mfcc_1,-76.39859672499999,-61.154977675609764
mfcc_2,55.379447875000004,61.41694836219511
mfcc_3,-42.33117074,-50.89553648780488
mfcc_4,-30.429618998750005,-30.158310575609757
mfcc_5,0.61032128,-0.9250507311463416
mfcc_6,1.4219698884000003,1.019927094390244
mfcc_7,-14.804074929999999,-14.997125568292685
mfcc_8,2.16309141,3.074289930487805
mfcc_9,-6.074278152500001,-8.553687006585367
mfcc_10,-5.592314509374999,-7.079123661314633
mfcc_11,-13.304427414999997,-12.647858197560975
mfcc_12,-5.9065820488,-8.274630632195121
mfcc_13,-4.9484921375,-6.265080211463414
Age,67.035,47.73170731707317
