model,accuracy,precision,recall,f1,roc_auc
RandomForest,0.7647058823529411,0.75,0.75,0.75,0.7083333333333334
SVC,0.7058823529411765,0.6666666666666666,0.75,0.7058823529411765,0.7222222222222222
ExtraTrees,0.7058823529411765,0.6666666666666666,0.75,0.7058823529411765,0.6944444444444445
XGBoost,0.7058823529411765,0.6666666666666666,0.75,0.7058823529411765,0.6805555555555556
KNN,0.7058823529411765,0.7142857142857143,0.625,0.6666666666666666,0.6736111111111112
AdaBoost,0.5882352941176471,0.5714285714285714,0.5,0.5333333333333333,0.6805555555555556
GaussianNB,0.5882352941176471,0.5714285714285714,0.5,0.5333333333333333,0.6805555555555556
MLP,0.5294117647058824,0.5,0.5,0.5,0.7638888888888888
LogisticRegression,0.47058823529411764,0.4444444444444444,0.5,0.47058823529411764,0.6527777777777778
DecisionTree,0.47058823529411764,0.4444444444444444,0.5,0.47058823529411764,0.4722222222222222
GradientBoosting,0.47058823529411764,0.4444444444444444,0.5,0.47058823529411764,0.6111111111111112
